Gender,Location,Total,Age,Num_falls
Persons,Laundry,447,85-89,107
Persons,Laundry,447,90-94,53
Persons,Laundry,447,95+,17
Persons,Indoor living areas,7161,65-69,646
Persons,Indoor living areas,7161,70-74,938
Persons,Indoor living areas,7161,75-79,1114
Persons,Indoor living areas,7161,80-84,1429
Persons,Indoor living areas,7161,85-89,1530
Persons,Indoor living areas,7161,90-94,1147
Persons,Indoor living areas,7161,95+,357
Persons,Other and unspecified in the home,27446,65-69,2888
Persons,Other and unspecified in the home,27446,70-74,3969
Persons,Other and unspecified in the home,27446,75-79,4472
Persons,Other and unspecified in the home,27446,80-84,5552
Persons,Other and unspecified in the home,27446,85-89,5419
Persons,Other and unspecified in the home,27446,90-94,3861
Persons,Other and unspecified in the home,27446,95+,1285
